Results of:	findByDate 6
- - - - - - - - - - - - - - - - - - - -

  41215734	GYU-KAKU            	805 3 AVENUE        	Japanese            	01/04/2016	 40
  41215734	GYU-KAKU            	805 3 AVENUE        	Japanese            	01/04/2016	 40
  41215734	GYU-KAKU            	805 3 AVENUE        	Japanese            	01/04/2016	 40
  41215734	GYU-KAKU            	805 3 AVENUE        	Japanese            	01/04/2016	 40
  41215734	GYU-KAKU            	805 3 AVENUE        	Japanese            	01/04/2016	 40
  41215734	GYU-KAKU            	805 3 AVENUE        	Japanese            	01/04/2016	 40
  41225414	THE REDHEAD         	349 EAST 13 STREET  	American            	01/04/2016	  3
  41226135	LAS MAGARITAS       	3801 BROADWAY       	Mexican             	01/04/2016	 22
  41226135	LAS MAGARITAS       	3801 BROADWAY       	Mexican             	01/04/2016	 22
  41226135	LAS MAGARITAS       	3801 BROADWAY       	Mexican             	01/04/2016	 22
  41226135	LAS MAGARITAS       	3801 BROADWAY       	Mexican             	01/04/2016	 22
  41226135	LAS MAGARITAS       	3801 BROADWAY       	Mexican             	01/04/2016	 22
  41237756	PUPUSERIA EL COMAL  	1486062 HILLSIDE AVE	Latin (Cuban, Domini	01/04/2016	 20
  41237756	PUPUSERIA EL COMAL  	1486062 HILLSIDE AVE	Latin (Cuban, Domini	01/04/2016	 20
  41237756	PUPUSERIA EL COMAL  	1486062 HILLSIDE AVE	Latin (Cuban, Domini	01/04/2016	 20
  41237756	PUPUSERIA EL COMAL  	1486062 HILLSIDE AVE	Latin (Cuban, Domini	01/04/2016	 20
  41277832	PAPA JOHN'S         	4927 BROADWAY       	Pizza               	01/04/2016	 10
  41277832	PAPA JOHN'S         	4927 BROADWAY       	Pizza               	01/04/2016	 10
  41297129	TROPICAL SENSATION  	953 AMSTERDAM AVENUE	Latin (Cuban, Domini	01/04/2016	 12
  41297129	TROPICAL SENSATION  	953 AMSTERDAM AVENUE	Latin (Cuban, Domini	01/04/2016	 12
  41307485	THE WATERING HOLE   	106 EAST 19 STREET  	American            	01/04/2016	 10
  41307485	THE WATERING HOLE   	106 EAST 19 STREET  	American            	01/04/2016	 10
  41316096	ALIMENTOS SALUDABLES	5919 4 AVENUE       	Mexican             	01/04/2016	  7
  41316096	ALIMENTOS SALUDABLES	5919 4 AVENUE       	Mexican             	01/04/2016	  7
  41331076	55 BAR              	55 CHRISTOPHER STREE	American            	01/04/2016	 17
  41331076	55 BAR              	55 CHRISTOPHER STREE	American            	01/04/2016	 17
  41331076	55 BAR              	55 CHRISTOPHER STREE	American            	01/04/2016	 17
  41331076	55 BAR              	55 CHRISTOPHER STREE	American            	01/04/2016	 17
  41331076	55 BAR              	55 CHRISTOPHER STREE	American            	01/04/2016	 17
  41341837	BARTOLINO'S RISTORAN	3415 BROADWAY       	Italian             	01/04/2016	  6
  41344235	ISLAND PRIDE RESTAUR	5403 CHURCH AVENUE  	Caribbean           	01/04/2016	   
  41344235	ISLAND PRIDE RESTAUR	5403 CHURCH AVENUE  	Caribbean           	01/04/2016	 12
  41344235	ISLAND PRIDE RESTAUR	5403 CHURCH AVENUE  	Caribbean           	01/04/2016	 12
  41344235	ISLAND PRIDE RESTAUR	5403 CHURCH AVENUE  	Caribbean           	01/04/2016	 12
  41349101	JOE'S PIZZA         	259 PROSPECT PARK WE	Pizza               	01/04/2016	 12
  41349101	JOE'S PIZZA         	259 PROSPECT PARK WE	Pizza               	01/04/2016	 12
  41349101	JOE'S PIZZA         	259 PROSPECT PARK WE	Pizza               	01/04/2016	 12
  41382811	GOLDEN KRUST CARIBBE	1381 EAST GUNHILL RO	Caribbean           	01/04/2016	   
  41382811	GOLDEN KRUST CARIBBE	1381 EAST GUNHILL RO	Caribbean           	01/04/2016	  9
  41382811	GOLDEN KRUST CARIBBE	1381 EAST GUNHILL RO	Caribbean           	01/04/2016	  9
  41382811	GOLDEN KRUST CARIBBE	1381 EAST GUNHILL RO	Caribbean           	01/04/2016	  9
  41396374	TASTY ROAST HOUSE   	5916 MAIN STREET    	Chinese             	01/04/2016	 35
  41396374	TASTY ROAST HOUSE   	5916 MAIN STREET    	Chinese             	01/04/2016	 35
  41396374	TASTY ROAST HOUSE   	5916 MAIN STREET    	Chinese             	01/04/2016	 35
  41396374	TASTY ROAST HOUSE   	5916 MAIN STREET    	Chinese             	01/04/2016	 35
  41396374	TASTY ROAST HOUSE   	5916 MAIN STREET    	Chinese             	01/04/2016	 35
  41396374	TASTY ROAST HOUSE   	5916 MAIN STREET    	Chinese             	01/04/2016	 35
  41428706	GOOD FAMILY BAKERY  	1317 AVENUE U       	Bakery              	01/04/2016	 12
  41428706	GOOD FAMILY BAKERY  	1317 AVENUE U       	Bakery              	01/04/2016	 12
  41428706	GOOD FAMILY BAKERY  	1317 AVENUE U       	Bakery              	01/04/2016	 12
  41430594	1 STOP PATTY SHOP   	1708 AMSTERDAM AVENU	Bakery              	01/04/2016	  7
  41449789	BLOSSOM BAKERY      	174 9 AVENUE        	Bakery              	01/04/2016	  2
